time-travel,17,33,22,8,0,201,49,66,2,28,5,35,44,35,25,10,21,31,46,42,53,10,30,35,78,22,24,0,15,14,74,24
queries,18,12,14,20,28,60,14,14,30,38,16,46,12,18,18,20,16,16,64,18,30,18,12,26,12,16,14,18,98,18,12,72
filters,10,4,2,7,1,9,4,0,2,0,1,0,1,8,0,11,2,5,0,1,1,0,13,0,0,3,4,4,9,10,1,5
